Myoglobin,Troponin,CK,Time(min),Rat_ID
1.021836627,1.011275037,1.000848547,0,Rat_01
0.993308745,1.009646174,1.012879371,1,Rat_01
1.023849478,1.022758318,0.992411001,2,Rat_01
1.004819208,1.008086276,1.004136699,3,Rat_01
1.012796102,1.004860441,1.01842919,4,Rat_01
1.040912899,1.030538672,1.038105702,5,Rat_01
1.081965008,1.025023334,1.057713245,6,Rat_01
1.123397293,1.101343108,1.134674849,7,Rat_01
1.215742414,1.190982809,1.229579417,8,Rat_01
1.262295349,1.279317397,1.320182803,9,Rat_01
1.379781976,1.369820003,1.48604453,10,Rat_01
1.482845601,1.506771351,1.619264081,11,Rat_01
1.574423637,1.66367006,1.74289141,12,Rat_01
1.735261333,1.752877351,1.930688876,13,Rat_01
1.885055888,1.853457136,2.109702037,14,Rat_01
2.00655025,2.098600278,2.343683781,15,Rat_01
2.169286812,2.258729283,2.560206998,16,Rat_01
2.263436926,2.4082257,2.783175777,17,Rat_01
2.498961546,2.562784638,3.019224812,18,Rat_01
2.69314716,2.782023965,3.269838171,19,Rat_01
2.900723995,2.964897675,3.467460374,20,Rat_01
3.0110785,3.21961243,3.859745213,21,Rat_01
3.220911132,3.353803279,4.00970849,22,Rat_01
3.446010888,3.563581103,4.319463309,23,Rat_01
3.559176562,3.774006507,4.507885157,24,Rat_01
3.798587465,3.996079717,4.878650307,25,Rat_01
3.828267369,4.203169572,5.082171344,26,Rat_01
4.164617013,4.429203708,5.368022498,27,Rat_01
4.239142812,4.63231259,5.669849815,28,Rat_01
4.409929085,4.888628968,5.86402369,29,Rat_01
4.64514417,5.123681169,6.194866509,30,Rat_01
4.800060999,5.319831974,6.416000975,31,Rat_01
4.9844708,5.485703898,6.655503153,32,Rat_01
4.996442147,5.772587905,6.865509302,33,Rat_01
5.220193148,5.960929258,7.163950245,34,Rat_01
5.526060245,6.370428933,7.248669504,35,Rat_01
5.551224673,6.361260489,7.562913102,36,Rat_01
5.611895108,6.7972359,7.569809976,37,Rat_01
5.838620339,7.009766637,7.999230735,38,Rat_01
5.890080205,7.159856813,8.136588933,39,Rat_01
6.057807552,7.515848146,8.138666568,40,Rat_01
6.079753924,7.778885519,8.395855054,41,Rat_01
6.314477077,7.903205614,8.577341004,42,Rat_01
6.281100608,8.320463215,8.682968548,43,Rat_01
6.363514999,8.436632637,8.733586857,44,Rat_01
6.281166964,8.425855556,8.867195844,45,Rat_01
6.398607368,8.717934063,9.057767317,46,Rat_01
6.588466819,9.105958935,9.057466715,47,Rat_01
6.503029686,9.27682954,9.183498531,48,Rat_01
6.668736756,9.580888971,9.316664612,49,Rat_01
6.51399637,9.724436335,9.256219626,50,Rat_01
6.656721959,9.899569854,9.354326371,51,Rat_01
6.749815645,10.2644496,9.22855667,52,Rat_01
6.715387534,10.47617494,9.408382452,53,Rat_01
6.697209124,10.66038019,9.325109,54,Rat_01
6.800556737,10.80394137,9.622278381,55,Rat_01
6.574079228,11.17006956,9.739915998,56,Rat_01
6.265076312,11.25614132,9.58169109,57,Rat_01
6.138623491,11.44232697,9.631084606,58,Rat_01
5.921268532,12.01670066,9.490896544,59,Rat_01
5.660233615,11.49003437,9.789537429,60,Rat_01
5.556405659,11.80600669,9.711037752,61,Rat_01
5.483665561,11.84946288,9.744468881,62,Rat_01
5.192445635,12.35942057,9.839836671,63,Rat_01
5.066616048,12.25286248,9.795524254,64,Rat_01
4.975531521,12.67365618,9.916917122,65,Rat_01
4.763460964,13.08068628,9.909461939,66,Rat_01
4.76268911,13.19409426,9.91028673,67,Rat_01
4.69894951,13.1320189,10.02331392,68,Rat_01
4.555665939,13.28018758,9.949692406,69,Rat_01
4.370011814,13.52890815,9.820350369,70,Rat_01
4.241033352,13.8339141,10.0955334,71,Rat_01
4.262156829,13.88341562,10.06022469,72,Rat_01
4.192212959,14.12237194,10.03077904,73,Rat_01
4.125432762,14.34464718,9.906143594,74,Rat_01
3.977199234,14.20034179,9.934922639,75,Rat_01
3.834240562,14.59236766,10.02463648,76,Rat_01
3.842781193,14.77477572,10.08075876,77,Rat_01
3.72551351,14.74869349,9.865947907,78,Rat_01
3.62224478,15.16679863,10.24406439,79,Rat_01
3.675164052,15.11338203,9.944386358,80,Rat_01
3.494355072,15.32973316,10.05696827,81,Rat_01
3.538280864,15.41618542,10.01954994,82,Rat_01
3.400840446,15.64878583,10.1551291,83,Rat_01
3.398364054,15.5986032,9.910452363,84,Rat_01
3.349903092,15.65627059,9.881421925,85,Rat_01
3.293979214,15.93979333,9.91434811,86,Rat_01
3.193621512,15.990425,9.809502471,87,Rat_01
3.18371369,16.13570258,10.11512925,88,Rat_01
3.041521381,16.40497655,10.05106471,89,Rat_01
2.977494103,16.62968379,9.941853752,90,Rat_01
2.962340984,16.65029281,9.888003352,91,Rat_01
2.965766943,16.4892504,10.08541101,92,Rat_01
2.908576617,16.81498922,10.06884827,93,Rat_01
2.856359775,17.0936989,9.862513324,94,Rat_01
2.811341533,17.06485394,10.01997702,95,Rat_01
2.722984336,17.10142664,9.971747817,96,Rat_01
2.73022386,17.13922135,9.864989165,97,Rat_01
